Rebuilding ListInfoManager Singleton...  ... done
Scan Request negative_BR_000            :: entry=2000-01-01 :: expire=2100-01-01 :: active=true
Scan Request negative_ES_000            :: entry=2000-01-01 :: expire=2100-01-01 :: active=true
Scan Request negative_GB_000            :: entry=2000-01-01 :: expire=2100-01-01 :: active=true
Scan Request negative_MX_000            :: entry=2000-01-01 :: expire=2100-01-01 :: active=true
Scan Request negative_NL_000            :: entry=2000-01-01 :: expire=2100-01-01 :: active=true
Scan Request negative_US_000            :: entry=2000-01-01 :: expire=2100-01-01 :: active=true
Scan Request pixel_1001                 :: entry=2012-11-01 :: expire=2013-02-14 :: active=false
Scan Request pixel_1002                 :: entry=2012-11-01 :: expire=2013-02-14 :: active=false
Scan Request pixel_10161                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_10170                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_10197                :: entry=2013-04-02 :: expire=2013-07-16 :: active=true
Scan Request pixel_10333                :: entry=2012-07-30 :: expire=2012-11-12 :: active=false
Scan Request pixel_10348                :: entry=2012-09-14 :: expire=2012-12-28 :: active=false
Scan Request pixel_10358                :: entry=2012-10-29 :: expire=2013-02-11 :: active=false
Scan Request pixel_10359                :: entry=2012-10-29 :: expire=2013-02-11 :: active=false
Scan Request pixel_10365                :: entry=2012-09-12 :: expire=2012-12-26 :: active=false
Scan Request pixel_10380                :: entry=2013-01-22 :: expire=2013-05-07 :: active=false
Scan Request pixel_10381                :: entry=2013-01-22 :: expire=2013-05-07 :: active=false
Scan Request pixel_10384                :: entry=2013-03-06 :: expire=2013-06-19 :: active=true
Scan Request pixel_10466                :: entry=2013-01-18 :: expire=2013-05-03 :: active=false
Scan Request pixel_10550                :: entry=2013-01-18 :: expire=2013-05-03 :: active=false
Scan Request pixel_10719                :: entry=2012-07-30 :: expire=2012-11-12 :: active=false
Scan Request pixel_10720                :: entry=2012-07-30 :: expire=2012-11-12 :: active=false
Scan Request pixel_10721                :: entry=2012-07-30 :: expire=2012-11-12 :: active=false
Scan Request pixel_10722                :: entry=2012-07-30 :: expire=2012-11-12 :: active=false
Scan Request pixel_10723                :: entry=2012-07-30 :: expire=2012-11-12 :: active=false
Scan Request pixel_10730                :: entry=2013-04-02 :: expire=2013-07-16 :: active=true
Scan Request pixel_10813                :: entry=2012-07-30 :: expire=2012-11-12 :: active=false
Scan Request pixel_10814                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_10823                :: entry=2012-10-30 :: expire=2013-02-12 :: active=false
Scan Request pixel_10826                :: entry=2012-12-21 :: expire=2013-04-05 :: active=false
Scan Request pixel_10830                :: entry=2012-10-26 :: expire=2013-02-08 :: active=false
Scan Request pixel_10977                :: entry=2012-12-06 :: expire=2013-03-21 :: active=false
Scan Request pixel_10990                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_10991                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_10992                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_11007                :: entry=2013-03-18 :: expire=2013-07-01 :: active=true
Scan Request pixel_11019                :: entry=2013-03-18 :: expire=2013-07-01 :: active=true
Scan Request pixel_11029                :: entry=2013-03-18 :: expire=2013-07-01 :: active=true
Scan Request pixel_11191                :: entry=2012-07-30 :: expire=2012-11-12 :: active=false
Scan Request pixel_11192                :: entry=2012-07-30 :: expire=2012-11-12 :: active=false
Scan Request pixel_11193                :: entry=2012-07-30 :: expire=2012-11-12 :: active=false
Scan Request pixel_1122                 :: entry=2012-10-29 :: expire=2013-02-11 :: active=false
Scan Request pixel_11233                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_11237                :: entry=2012-07-30 :: expire=2012-11-12 :: active=false
Scan Request pixel_11250                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_11284                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_11285                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_11292                :: entry=2013-01-18 :: expire=2013-05-03 :: active=false
Scan Request pixel_11318                :: entry=2013-01-18 :: expire=2013-05-03 :: active=false
Scan Request pixel_11323                :: entry=2013-01-18 :: expire=2013-05-03 :: active=false
Scan Request pixel_11368                :: entry=2013-04-04 :: expire=2013-07-18 :: active=true
Scan Request pixel_11442                :: entry=2012-10-30 :: expire=2013-02-12 :: active=false
Scan Request pixel_11457                :: entry=2013-04-02 :: expire=2013-07-16 :: active=true
Scan Request pixel_11491                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_11811                :: entry=2013-02-06 :: expire=2013-05-22 :: active=false
Scan Request pixel_11813                :: entry=2013-02-06 :: expire=2013-05-22 :: active=false
Scan Request pixel_11823                :: entry=2013-02-06 :: expire=2013-05-22 :: active=false
Scan Request pixel_11825                :: entry=2013-02-06 :: expire=2013-05-22 :: active=false
Scan Request pixel_11826                :: entry=2013-02-06 :: expire=2013-05-22 :: active=false
Scan Request pixel_11912                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_11913                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_11914                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_11918                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_11919                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_11920                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_11926                :: entry=2012-12-19 :: expire=2013-04-03 :: active=false
Scan Request pixel_11964                :: entry=2013-05-02 :: expire=2013-08-15 :: active=true
Scan Request pixel_1197                 :: entry=2013-01-01 :: expire=2013-04-16 :: active=false
Scan Request pixel_1198                 :: entry=2013-03-06 :: expire=2013-06-19 :: active=true
Scan Request pixel_11980                :: entry=2013-04-04 :: expire=2013-07-18 :: active=true
Scan Request pixel_11983                :: entry=2013-04-04 :: expire=2013-07-18 :: active=true
Scan Request pixel_12002                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_12003                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_12006                :: entry=2013-04-02 :: expire=2013-07-16 :: active=true
Scan Request pixel_12020                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_12021                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_12022                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12023                :: entry=2013-01-03 :: expire=2013-04-18 :: active=false
Scan Request pixel_12029                :: entry=2013-01-03 :: expire=2013-04-18 :: active=false
Scan Request pixel_12130                :: entry=2013-03-18 :: expire=2013-07-01 :: active=true
Scan Request pixel_12131                :: entry=2013-03-18 :: expire=2013-07-01 :: active=true
Scan Request pixel_12143                :: entry=2013-04-29 :: expire=2013-08-12 :: active=true
Scan Request pixel_12156                :: entry=2012-10-29 :: expire=2013-02-11 :: active=false
Scan Request pixel_12163                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12168                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12322                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12330                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12332                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12333                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12356                :: entry=2013-04-02 :: expire=2013-07-16 :: active=true
Scan Request pixel_12402                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12411                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12417                :: entry=2012-09-21 :: expire=2013-01-04 :: active=false
Scan Request pixel_12418                :: entry=2012-09-21 :: expire=2013-01-04 :: active=false
