excname	exc_id	iab_id
admeta	1	2
admeta	27	86
admeta	28	180
admeta	29	27
admeta	30	185
admeta	31	35
admeta	32	37
admeta	33	39
admeta	2	45
admeta	34	90
admeta	35	137
admeta	36	470
admeta	37	280
admeta	38	238
admeta	39	141
admeta	40	142
admeta	41	143
admeta	42	144
admeta	43	780
admeta	44	146
admeta	45	415
admeta	46	147
admeta	47	500
admeta	48	272
admeta	49	151
admeta	50	635
admeta	51	498
admeta	52	329
admeta	53	148
admeta	54	399
admeta	55	482
admeta	56	149
admeta	3	11
admeta	57	24
admeta	58	47
admeta	59	250
admeta	60	398
admeta	61	49
admeta	62	46
admeta	63	75
admeta	64	325
admeta	65	156
admeta	66	51
admeta	67	25
admeta	68	300
admeta	4	95
admeta	69	121
admeta	70	299
admeta	71	555
admeta	72	425
admeta	73	430
admeta	74	432
admeta	75	221
admeta	76	554
admeta	77	507
admeta	78	301
admeta	79	427
admeta	5	99
admeta	80	134
admeta	81	360
admeta	82	208
admeta	83	369
admeta	84	612
admeta	85	320
admeta	86	575
admeta	87	574
admeta	88	387
admeta	89	480
admeta	90	235
admeta	91	135
admeta	92	133
admeta	93	401
admeta	94	287
admeta	6	15
admeta	95	518
admeta	96	712
admeta	97	799
admeta	98	747
admeta	99	58
admeta	100	59
admeta	101	372
admeta	102	419
admeta	103	403
admeta	7	43
admeta	104	92
admeta	105	283
admeta	106	479
admeta	107	481
admeta	108	115
admeta	109	483
admeta	110	478
admeta	111	417
admeta	112	310
admeta	113	530
admeta	114	276
admeta	115	416
admeta	116	532
admeta	117	503
admeta	118	400
admeta	119	533
admeta	120	101
admeta	121	420
admeta	122	199
admeta	123	413
admeta	124	534
admeta	125	409
admeta	126	414
admeta	127	317
admeta	128	116
admeta	129	117
admeta	130	405
admeta	131	535
admeta	132	536
admeta	133	213
admeta	134	209
admeta	135	103
admeta	136	537
admeta	137	211
admeta	138	212
admeta	139	145
admeta	140	191
admeta	142	202
admeta	142	538
admeta	143	402
admeta	144	608
admeta	145	87
admeta	146	637
admeta	147	102
admeta	148	407
admeta	8	70
admeta	149	705
admeta	150	700
admeta	151	703
admeta	152	790
admeta	153	100
admeta	154	334
admeta	155	330
admeta	156	715
admeta	157	105
admeta	158	237
admeta	159	792
admeta	160	698
admeta	161	797
admeta	162	793
admeta	163	800
admeta	164	240
admeta	165	529
admeta	166	219
admeta	9	62
admeta	167	335
admeta	168	93
admeta	169	336
admeta	170	342
admeta	171	63
admeta	172	337
admeta	173	69
admeta	174	98
admeta	175	343
admeta	176	57
admeta	177	104
admeta	178	600
admeta	179	344
admeta	180	412
admeta	181	345
admeta	182	328
admeta	183	346
admeta	184	348
admeta	185	338
admeta	186	50
admeta	187	451
admeta	188	444
admeta	189	270
admeta	190	531
admeta	191	233
admeta	192	247
admeta	193	89
admeta	194	339
admeta	195	61
admeta	196	40
admeta	197	341
admeta	10	10
admeta	198	130
admeta	199	186
admeta	200	80
admeta	201	112
admeta	202	107
admeta	203	501
admeta	204	114
admeta	205	111
admeta	206	106
admeta	11	17
admeta	207	347
admeta	208	77
admeta	209	617
admeta	210	263
admeta	211	651
admeta	12	13
admeta	212	699
admeta	213	74
admeta	214	365
admeta	13	5
admeta	215	96
admeta	216	193
admeta	217	546
admeta	218	362
admeta	219	794
admeta	220	33
admeta	221	97
admeta	222	795
admeta	223	798
admeta	224	363
admeta	225	796
admeta	226	625
admeta	14	16
admeta	227	580
admeta	228	603
admeta	229	291
admeta	230	582
admeta	231	284
admeta	232	565
admeta	233	192
admeta	234	60
admeta	15	171
admeta	235	248
admeta	236	203
admeta	237	241
admeta	238	239
admeta	239	264
admeta	240	214
admeta	241	198
admeta	242	410
admeta	243	204
admeta	244	81
admeta	16	65
admeta	245	560
admeta	246	561
admeta	247	562
admeta	248	563
admeta	249	380
admeta	250	570
admeta	251	189
admeta	17	23
admeta	252	725
admeta	253	170
admeta	254	249
admeta	255	246
admeta	256	351
admeta	257	643
admeta	258	175
admeta	259	252
admeta	260	177
admeta	261	462
admeta	262	391
admeta	263	168
admeta	264	390
admeta	265	393
admeta	266	255
admeta	267	495
admeta	268	569
admeta	269	394
admeta	270	260
admeta	271	352
admeta	272	251
admeta	273	723
admeta	274	411
admeta	275	179
admeta	276	727
admeta	277	165
admeta	278	163
admeta	279	259
admeta	280	174
admeta	281	258
admeta	282	667
admeta	283	392
admeta	284	660
admeta	285	261
admeta	286	718
admeta	287	719
admeta	288	649
admeta	289	640
admeta	290	266
admeta	291	256
admeta	292	191
admeta	293	257
admeta	294	645
admeta	295	167
admeta	18	41
admeta	296	94
admeta	297	220
admeta	298	169
admeta	299	340
admeta	300	183
admeta	301	184
admeta	19	3
admeta	302	487
admeta	303	488
admeta	304	309
admeta	305	599
admeta	306	242
admeta	307	302
admeta	308	750
admeta	309	110
admeta	310	113
admeta	311	298
admeta	312	661
admeta	313	297
admeta	314	627
admeta	315	629
admeta	316	201
admeta	317	489
admeta	318	631
admeta	319	740
admeta	320	508
admeta	321	509
admeta	322	388
admeta	323	230
admeta	324	253
admeta	325	751
admeta	326	254
admeta	327	265
admeta	328	389
admeta	329	271
admeta	330	271
admeta	331	791
admeta	332	485
admeta	333	510
admeta	334	772
admeta	335	333
admeta	336	332
admeta	337	490
admeta	20	68
admeta	338	502
admeta	339	801
admeta	340	231
admeta	341	805
admeta	342	119
admeta	343	78
admeta	344	79
admeta	345	810
admeta	346	120
admeta	347	811
admeta	348	815
admeta	349	234
admeta	350	821
admeta	351	820
admeta	352	823
admeta	353	825
admeta	354	511
admeta	355	118
admeta	356	827
admeta	357	835
admeta	358	840
admeta	359	630
admeta	360	845
admeta	361	140
admeta	362	602
admeta	363	395
admeta	364	829
admeta	21	26
admeta	365	370
admeta	366	471
admeta	367	657
admeta	22	19
admeta	368	742
admeta	369	273
admeta	370	275
admeta	371	406
admeta	23	55
admeta	372	314
admeta	373	307
admeta	374	311
admeta	375	303
admeta	376	304
admeta	377	312
admeta	378	313
admeta	379	306
admeta	380	305
admeta	381	308
admeta	26	99
contextweb	3	2
contextweb	32	86
contextweb	33	185
contextweb	34	35
contextweb	35	37
contextweb	49	39
contextweb	4	45
contextweb	407	90
contextweb	56	137
contextweb	57	470
contextweb	455	238
contextweb	394	141
contextweb	393	142
contextweb	456	143
contextweb	457	144
contextweb	458	780
contextweb	396	146
contextweb	398	415
contextweb	453	147
contextweb	395	500
contextweb	58	272
contextweb	459	151
contextweb	460	635
contextweb	392	498
