IAB	ID
Arts & Entertainment	2
Technology & Computing	3
Personal Finance	5
Home & Garden	10
Business	11
News	13
Family & Parenting	15
Society	16
"Law, Government & Politics"	17
Shopping	19
Sports	23
Advertising	24
Marketing	25
Real Estate	26
Fine Art	27
Insurance	33
Movies	35
Music	37
Television	39
Video & Computer Games	40
Style & Fashion	41
Health & Fitness	43
Automotive	45
Forestry	46
Agriculture	47
Construction	49
Magic & Illusion	50
Logistics	51
Religion & Spirituality	55
Collecting	57
Parenting - K-6 Kids	58
Parenting Teens	59
Ethnic Specific	60
Stamps & Coins	61
Hobbies & Interests	62
Board Games/Puzzles	63
Pets	65
Travel	68
Card Games	69
Food & Drink	70
National News	74
Government	75
Legal Issues	77
Budget Travel	78
Business Travel	79
Environmental Safety	80
Weather	81
Books & Literature	86
Substance Abuse	87
Scrapbooking	89
Auto Parts	90
Exercise	92
Arts & Crafts	93
Beauty	94
Careers	95
Beginning Investing	96
Investing	97
Chess	98
Education	99
Uncategorized	99
Cocktails/Beer	100
Dental Care	101
Weight Loss	102
Nutrition	103
Comic Books	104
Dining Out	105
Remodeling & Construction	106
Home Repair	107
Computer Networking	110
Landscaping	111
Gardening	112
Computer Peripherals	113
Interior Decorating	114
Alternative Medicine	115
Herbs for Health	116
Holistic Healing	117
Hotels	118
Bed & Breakfasts	119
Camping	120
Career Planning	121
Appliances	130
Private School	133
7-12 Education	134
K-6 Educators	135
Auto Repair	137
Spas	140
Convertible	141
Coupe	142
Crossover	143
Diesel	144
Physical Therapy	145
Hatchback	146
Luxury	147
Sedan	148
Wagon	149
Off-Road Vehicles	151
Human Resources	156
Pro Ice Hockey	163
Pro Basketball	165
World Soccer	167
Football	168
Fashion	169
Baseball	170
Science	171
Rugby	174
Cheerleading	175
Cricket	177
Paintball	179
Celebrity Fan/Gossip	180
Volleyball	181
Clothing	183
Accessories	184
Humor	185
Entertaining	186
Veterinary Medicine	189
Psychology/Psychiatry	191
Weddings	192
Credit/Debt & Loans	193
Space/Astronomy	198
Dermatology	199
Email	201
Senior Health	202
Biology	203
Botany	204
Art History	208
Men's Health	209
Panic/Anxiety Disorders	211
Pediatrics	212
Infertility	213
Physics	214
Wine	219
Body Art	220
Nursing	221
MP3/MIDI	230
Air Travel	231
Roleplaying Games	233
Cruises	234
Homework/Study Tips	235
Food Allergies	237
Certified Pre-Owned	238
Geology	239
Vegan	240
Chemistry	241
Cameras & Camcorders	242
Social Media	245
Bodybuilding	246
Sci-Fi & Fantasy	247
Astrology	248
Bicycling	249
Biotech/Biomedical	250
Mountain Biking	251
Climbing	252
Net Conferencing	253
Network Security	254
Golf	255
Tennis	256
Walking	257
Running/Jogging	258
Rodeo	259
Inline Skating	260
Skateboarding	261
Politics	263
Paranormal Phenomena	264
Palmtops/PDAs	265
Table Tennis/Ping Pong	266
Photography	270
Portable Entertainment	271
Motorcycles	272
Couponing	273
Comparison	275
Cancer	276
Car Culture	280
A.D.D.	283
Senior Living	284
Studying Business	287
Gay Life	291
Databases	297
Computer Reviews	298
College	299
Metals	300
U.S. Military	301
Cell Phones	302
Catholicism	303
Christianity	304
Latter-Day Saints	305
Judaism	306
Atheism/Agnosticism	307
Pagan/Wiccan	308
Antivirus Software	309
Bipolar Disorder	310
Buddhism	311
Hinduism	312
Islam	313
Alternative Religions	314
Heart Disease	317
Distance Learning	320
Green Solutions	325
Guitar	328
Road-Side Assistance	329
Cuisine-Specific	330
Web Search	332
Web Design/HTML	333
Coffee/Tea	334
Art/Technology	335
Beadwork	336
Candle & Soap Making	337
Jewelry Making	338
Screenwriting	339
Jewelry	340
Woodworking	341
Birdwatching	342
Cigars	343
Freelance Writing	344
Getting Published	345
Home Recording	346
Immigration	347
Investors & Patents	348
Boxing	351
Martial Arts	352
Adult Education	360
Financial Planning	362
Retirement Planning	363
Local News	365
College Administration	369
Apartments	370
Pregnancy	372
Large Animals	380
Graduate School	387
Mac Support	388
PC Support	389
Freshwater Fishing	390
Fly Fishing	391
Saltwater Fishing	392
Game & Fish	393
Hunting/Shooting	394
Traveling with Kids	395
Business Software	398
Trucks & Accessories	399
Cold & Flu	400
Special Education	401
Sleep Disorders	402
Eldercare	403
IBS/Crohn's Disease	405
Engines	406
Women's Health	407
GERD/Acid Reflux	409
Geography	410
Olympics	411
Genealogy	412
Diabetes	413
Headaches/Migraines	414
Hybrid	415
Cholesterol	416
Autism/PDD	417
Special Needs Kids	419
Depression	420
Job Fairs	425
Career Advice	427
Job Search	430
Resume Writing/Advice	432
Painting	444
Needlework	451
Figure Skating	462
Buying/Selling Cars	470
Architects	471
Asthma	478
AIDS/HIV	479
Homeschooling	480
Allergies	481
Vintage Cars	482
Arthritis	483
Linux	484
Unix	485
Mac OS	486
3-D Graphics	487
Animation	488
Graphics Software	489
Windows	490
Horse Racing	495
Pickup	498
Minivan	500
Home Theater	501
Adventure Travel	502
Chronic Pain	503
Telecommuting	507
Java	508
JavaScript	509
Visual Basic	510
Honeymoons/Getaways	511
Adoption	518
Vegetarian	529
Brain Tumor	530
Radio	531
Chronic Fatigue Syndrome	532
Deafness	533
Epilepsy	534
Incest/Abuse Support	535
Incontinence	536
Orthopedics	537
Sexuality	538
Financial News	546
Scholarships	554
Financial Aid	555
Aquariums	560
Birds	561
Cats	562
Dogs	563
Teens	565
Horses	569
Reptiles	570
Language Learning	574
English as a Second Language	575
Dating	580
Marriage	582
C/C++	599
Drawing/Sketching	600
Theme Parks	602
Divorce Support	603
Smoking Cessation	608
College Life	612
U.S. Government Resources	617
Tax Planning	625
Desktop Publishing	627
Desktop Video	629
National Parks	630
Home Video/DVD	631
Performance Vehicles	635
Thyroid Disease	637
Swimming	640
Canoeing/Kayaking	643
Waterski/Wakeboard	645
Surfing/Bodyboarding	649
Commentary	651
Buying/Selling Homes	657
Scuba Diving	660
Data Centers	661
Sailing	667
Health/Low-Fat Cooking	698
International News	699
Barbecues & Grilling	700
Cajun/Creole	703
American Cuisine	705
Babies & Toddlers	712
Desserts & Baking	715
Skiing	718
Snowboarding	719
NASCAR Racing	723
Auto Racing	725
Power & Motorcycles	727
Internet Technology	740
Contests & Freebies	742
Family Internet	747
Computer Certification	750
Net for Beginners	751
Web Clip Art	772
Electric Vehicle	780
Chinese Cuisine	790
Shareware/Freeware	791
French Cuisine	792
Japanese Cuisine	793
Hedge Fund	794
Mutual Funds	795
Stocks	796
Italian Cuisine	797
Options	798
Daycare/Pre-School	799
Mexican Cuisine	800
Africa	801
Australia & New Zealand	805
By U.S. Locale	810
Canada	811
Caribbean	815
Europe	820
Eastern Europe	821
France	823
Greece	825
Italy	827
United Kingdom	829
Japan	835
Mexico & Central America	840
South America	845
